Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
3.00,-,0.00,0.38,0.75,0,0,442.94%,-0.03,0.0047,-0.02,0.00
4.00,-,0.00,0.38,0.75,0,0,359.87%,-0.05,0.0072,-0.02,0.00
5.00,-,0.00,0.38,0.75,0,0,298.51%,-0.06,0.0104,-0.02,0.00
6.00,0.01,0.00,0.01,0.01,12,0,112.35%,0.00,0.0027,0.00,0.00
6.50,-,0.00,0.11,0.22,0,0,165.38%,-0.04,0.0138,-0.01,0.00
7.00,-,0.00,0.38,0.75,0,0,208.99%,-0.08,0.0201,-0.02,0.01
7.50,-,0.00,0.38,0.75,0,0,190.80%,-0.09,0.0237,-0.02,0.01
8.00,-,0.00,0.38,0.75,0,102,173.75%,-0.10,0.0278,-0.02,0.01
8.50,-,0.00,0.38,0.76,0,46,158.39%,-0.11,0.0329,-0.02,0.01
9.00,-,0.00,0.25,0.50,0,74,124.28%,-0.10,0.0388,-0.01,0.01
9.50,-,0.00,0.07,0.14,0,211,78.51%,-0.05,0.0379,-0.01,0.00
10.00,0.03,0.03,0.04,0.05,"3,820","1,699",60.56%,-0.04,0.0406,0.00,0.00
10.50,0.06,0.06,0.07,0.07,"3,878","15,451",57.61%,-0.07,0.0614,0.00,0.00
11.00,0.10,0.09,0.11,0.12,"1,182","2,089",54.93%,-0.10,0.0898,-0.01,0.01
11.50,0.16,0.16,0.17,0.17,211,577,52.22%,-0.16,0.1254,-0.01,0.01
12.00,0.26,0.26,0.27,0.28,310,574,51.07%,-0.23,0.1639,-0.01,0.01
12.50,0.41,0.39,0.41,0.42,52,"4,034",48.86%,-0.32,0.2017,-0.01,0.01
13.00,0.62,0.59,0.61,0.62,"2,254",99,47.84%,-0.43,0.2255,-0.01,0.01
13.50,0.87,0.86,0.87,0.88,6,2,47.45%,-0.55,0.2289,-0.01,0.01
14.00,-,1.17,1.19,1.22,0,12,47.48%,-0.65,0.2130,-0.01,0.01
14.50,-,1.53,1.56,1.59,0,0,46.92%,-0.75,0.1860,-0.01,0.01
15.00,-,1.95,1.98,2.02,0,11,48.42%,-0.82,0.1507,-0.01,0.01
15.50,-,2.36,2.40,2.44,0,0,45.42%,-0.89,0.1132,0.00,0.01
16.00,-,2.83,2.87,2.91,0,0,46.68%,-0.92,0.0833,0.00,0.01
16.50,-,3.15,3.58,4.00,0,0,79.88%,-0.82,0.0908,-0.01,0.01
17.00,-,3.80,3.85,3.90,0,0,53.28%,-0.95,0.0523,0.00,0.00
17.50,-,4.15,4.90,5.65,0,0,123.87%,-0.74,0.0712,-0.02,0.01
18.00,-,4.75,5.03,5.30,0,0,93.05%,-0.86,0.0655,-0.01,0.01
19.00,-,5.75,6.20,6.65,0,0,124.06%,-0.81,0.0591,-0.02,0.01
20.00,-,6.75,7.03,7.30,0,0,114.29%,-0.88,0.0488,-0.01,0.01
21.00,-,7.75,7.83,7.90,0,0,80.88%,-0.98,0.0194,0.00,0.00
22.50,-,9.25,9.33,9.40,0,0,92.86%,-0.97,0.0175,0.00,0.00
