Snapshot Date,Symbol,Underlying Price,Expiry Date,DTE,Side,Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega
2025-08-15 09:36:09,AAL,0,2025-09-05,21,P,3.0,-,0.0,0.41,0.81,0,0,506.06%,-0.04,0.0051,-0.03,0.0
2025-08-15 09:36:09,AAL,0,2025-09-05,21,P,4.0,-,0.0,0.41,0.81,0,0,409.67%,-0.05,0.0078,-0.03,0.0
2025-08-15 09:36:09,AAL,0,2025-09-05,21,P,5.0,-,0.0,0.41,0.81,0,0,338.60%,-0.06,0.0114,-0.03,0.0
2025-08-15 09:36:09,AAL,0,2025-09-05,21,P,6.0,-,0.0,0.38,0.75,0,0,275.24%,-0.07,0.016,-0.03,0.0
2025-08-15 09:36:09,AAL,0,2025-09-05,21,P,6.5,-,0.0,0.38,0.75,0,0,251.20%,-0.08,0.0189,-0.03,0.0
2025-08-15 09:36:09,AAL,0,2025-09-05,21,P,7.0,-,0.0,0.41,0.81,0,0,234.91%,-0.09,0.0223,-0.03,0.01
2025-08-15 09:36:09,AAL,0,2025-09-05,21,P,7.5,-,0.0,0.38,0.75,0,0,208.31%,-0.1,0.0263,-0.03,0.01
2025-08-15 09:36:09,AAL,0,2025-09-05,21,P,8.0,-,0.0,0.38,0.75,0,1,188.90%,-0.11,0.0311,-0.02,0.01
2025-08-15 09:36:09,AAL,0,2025-09-05,21,P,8.5,-,0.0,0.41,0.81,0,105,175.34%,-0.12,0.0369,-0.03,0.01
2025-08-15 09:36:09,AAL,0,2025-09-05,21,P,9.0,-,0.0,0.38,0.75,0,2,153.10%,-0.13,0.0443,-0.02,0.01
2025-08-15 09:36:09,AAL,0,2025-09-05,21,P,9.5,-,0.0,0.02,0.04,0,"4,830",64.27%,-0.02,0.0289,0.0,0.0
2025-08-15 09:36:09,AAL,0,2025-09-05,21,P,10.0,0.04,0.0,0.05,0.09,2,79,64.08%,-0.05,0.0517,0.0,0.0
2025-08-15 09:36:09,AAL,0,2025-09-05,21,P,10.5,0.04,0.02,0.03,0.04,10,545,49.14%,-0.05,0.0618,0.0,0.0
2025-08-15 09:36:09,AAL,0,2025-09-05,21,P,11.0,0.06,0.04,0.06,0.07,9,"1,242",45.62%,-0.08,0.1049,0.0,0.0
2025-08-15 09:36:09,AAL,0,2025-09-05,21,P,11.5,0.09,0.08,0.09,0.1,30,"2,211",40.75%,-0.13,0.1688,-0.01,0.01
2025-08-15 09:36:09,AAL,0,2025-09-05,21,P,12.0,0.19,0.17,0.18,0.19,159,571,38.98%,-0.24,0.2537,-0.01,0.01
2025-08-15 09:36:09,AAL,0,2025-09-05,21,P,12.5,0.34,0.33,0.34,0.35,53,793,37.93%,-0.39,0.3217,-0.01,0.01
2025-08-15 09:36:09,AAL,0,2025-09-05,21,P,13.0,0.63,0.57,0.59,0.6,492,972,37.30%,-0.55,0.3378,-0.01,0.01
2025-08-15 09:36:09,AAL,0,2025-09-05,21,P,13.5,0.96,0.89,0.92,0.95,2,48,37.50%,-0.71,0.2922,-0.01,0.01
2025-08-15 09:36:09,AAL,0,2025-09-05,21,P,14.0,-,1.26,1.32,1.37,0,39,37.17%,-0.83,0.2179,-0.01,0.01
2025-08-15 09:36:09,AAL,0,2025-09-05,21,P,14.5,-,1.69,1.76,1.82,0,5,36.39%,-0.91,0.1376,0.0,0.0
2025-08-15 09:36:09,AAL,0,2025-09-05,21,P,15.0,-,2.18,2.23,2.27,0,17,35.08%,-0.97,0.07,0.0,0.0
2025-08-15 09:36:09,AAL,0,2025-09-05,21,P,15.5,-,2.66,2.71,2.75,0,1,0.00%,-1.0,0.0,0.0,0.0
2025-08-15 09:36:09,AAL,0,2025-09-05,21,P,16.0,-,3.15,3.2,3.25,0,2,0.00%,-1.0,0.0,0.0,0.0
2025-08-15 09:36:09,AAL,0,2025-09-05,21,P,16.5,-,3.65,3.7,3.75,0,2,0.00%,-1.0,0.0,0.0,0.0
2025-08-15 09:36:09,AAL,0,2025-09-05,21,P,17.0,-,4.15,4.2,4.25,0,0,0.00%,-1.0,0.0,0.0,0.0
2025-08-15 09:36:09,AAL,0,2025-09-05,21,P,17.5,-,4.65,4.7,4.75,0,0,0.00%,-1.0,0.0,0.0,0.0
2025-08-15 09:36:09,AAL,0,2025-09-05,21,P,18.0,-,5.15,5.2,5.25,0,0,0.00%,-1.0,0.0,0.0,0.0
2025-08-15 09:36:09,AAL,0,2025-09-05,21,P,19.0,-,6.15,6.2,6.25,0,0,0.00%,-1.0,0.0,0.0,0.0
2025-08-15 09:36:09,AAL,0,2025-09-05,21,P,20.0,-,7.15,7.2,7.25,0,0,65.49%,-1.0,0.005,0.0,0.0
2025-08-15 09:36:09,AAL,0,2025-09-05,21,P,21.0,-,8.15,8.2,8.25,0,0,77.72%,-0.99,0.0071,0.0,0.0
2025-08-15 09:36:09,AAL,0,2025-09-05,21,P,22.5,-,9.65,9.7,9.75,0,0,92.95%,-0.99,0.0084,0.0,0.0
